record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
42982,86011219,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,12,-39.5
42983,86011219,Sooty shearwater,PUFGRI,Puffinus griseus,6,-39.5
42984,86011219,Arctic tern,STEPAR,Sterna paradisaea,1,-39.5
42985,86011219,Chatham Island mollymawk,THAERE,Thalassarche eremita,2,-39.5
42986,86011220,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.5
42987,86011220,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.5
42988,86011220,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
42989,86011220,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-39.5
42990,86011220,Buller's mollymawk,THABUL,Thalassarche bulleri,2,-39.5
42991,86011220,Salvin's mollymawk,THASAL,Thalassarche salvini,2,-39.5
42992,86011220,Cape petrel,DAPCAP,Daption capense,8,-39.5
42993,86011220,Prion ,PACSP,Pachyptila sp,30,-39.5
42994,86011220,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,12,-39.5
42995,86011220,Sooty shearwater,PUFGRI,Puffinus griseus,6,-39.5
42996,86011220,Chatham Island mollymawk,THAERE,Thalassarche eremita,1,-39.5
42997,86011221,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.5
42998,86011221,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.5
42999,86011221,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43000,86011221,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-39.5
43001,86011221,Buller's mollymawk,THABUL,Thalassarche bulleri,3,-39.5
43002,86011221,Salvin's mollymawk,THASAL,Thalassarche salvini,2,-39.5
43003,86011221,Giant petrel sensu lato,MACSP,Macronectes sp.,1,-39.5
43004,86011221,Antarctic fulmar,FULGLA,Fulmarus glacialoides,1,-39.5
43005,86011221,Cape petrel,DAPCAP,Daption capense,15,-39.5
43006,86011221,Grey-faced petrel,PTEMACGOU,Pterodroma macroptera  gouldi,1,-39.5
43007,86011221,Prion ,PACSP,Pachyptila sp,12,-39.5
43008,86011221,Westland petrel,PROWES,Procellaria westlandica,2,-39.5
43009,86011221,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,8,-39.5
43010,86011221,Sooty shearwater,PUFGRI,Puffinus griseus,6,-39.5
43011,86011221,Chatham Island mollymawk,THAERE,Thalassarche eremita,2,-39.5
43012,86011222,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43013,86011222,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43014,86011222,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-39.5
43015,86011222,Buller's mollymawk,THABUL,Thalassarche bulleri,2,-39.5
43016,86011222,Salvin's mollymawk,THASAL,Thalassarche salvini,2,-39.5
43017,86011222,Cape petrel,DAPCAP,Daption capense,8,-39.5
43018,86011222,Prion ,PACSP,Pachyptila sp,2,-39.5
43019,86011222,Westland petrel,PROWES,Procellaria westlandica,1,-39.5
43020,86011222,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,12,-39.5
43021,86011222,Sooty shearwater,PUFGRI,Puffinus griseus,2,-39.5
43022,86011222,Chatham Island mollymawk,THAERE,Thalassarche eremita,2,-39.5
43023,86011223,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.5
43024,86011223,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43025,86011223,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43026,86011223,Northern royal albatross,DIOSAN,Diomedea sanfordi,1,-39.5
43027,86011223,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,2,-39.5
43028,86011223,Buller's mollymawk,THABUL,Thalassarche bulleri,3,-39.5
43029,86011223,Salvin's mollymawk,THASAL,Thalassarche salvini,3,-39.5
43030,86011223,Cape petrel,DAPCAP,Daption capense,12,-39.5
43031,86011223,Grey-faced petrel,PTEMACGOU,Pterodroma macroptera  gouldi,2,-39.5
43032,86011223,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,6,-39.5
43033,86011223,Sooty shearwater,PUFGRI,Puffinus griseus,6,-39.5
43034,86011223,Chatham Island mollymawk,THAERE,Thalassarche eremita,3,-39.5
43035,86011224,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.5
43036,86011224,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.5
43037,86011224,Northern royal albatross,DIOSAN,Diomedea sanfordi,1,-39.5
43038,86011224,Buller's mollymawk,THABUL,Thalassarche bulleri,1,-39.5
43039,86011224,Cape petrel,DAPCAP,Daption capense,11,-39.5
43040,86011224,Grey-faced petrel,PTEMACGOU,Pterodroma macroptera  gouldi,1,-39.5
43041,86011224,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,4,-39.5
